Category,StarRating,Sentiment,OrderAccuracy,CustomizationError,FoodQuality,Comment
Customization error,3,Neutral,Incorrect,Wrong bread,N/A,"Got an artisan roll instead of a sesame seed bun. Not a huge deal, just unexpected."
Order accuracy,2,Negative,Incorrect,Wrong sauce,Average,"Asked for BBQ sauce, got ranch. Burgers were correct at least."
Staff service,5,Positive,Correct,None,N/A,"The young man at the window had a great attitude. Made my morning better."
Timeliness,1,Negative,Incorrect,None,Cold,"Curbside pickup took 20 minutes. Food was cold by the time someone finally brought it out."
Cleanliness,3,Neutral,Correct,None,N/A,"Floor was a bit greasy near the fry station but restrooms were acceptable."
Environment,2,Negative,Correct,None,N/A,"Extremely crowded and the AC was broken. Miserable experience eating inside."
Food quality,4,Positive,Partial error,None,Fresh,"Nuggets were perfect, but they forgot one of the two cheeseburgers. Still, what I ate was good."
Staff service,4,Positive,Incorrect,None,N/A,"Cashier made a mistake but corrected it quickly with a smile and an apology cookie."
Timeliness,3,Neutral,Correct,None,Average,"Standard wait time. Nothing special about the speed today."
Cleanliness,2,Negative,Correct,None,N/A,"Condiment station was a mess of ketchup spills and empty napkin dispensers."
Environment,5,Positive,Correct,None,N/A,"Love the new kiosk ordering. Makes customizing the burger so easy without holding up the line."
Food quality,1,Negative,Incorrect,Missing ingredients,Stale,"Cheeseburger had no cheese. Bun was rock hard. How does this even leave the kitchen?"
Customization error,1,Negative,Incorrect,Wrong customizations,Cold,"Mobile order clearly said NO TOMATO. Sandwich was swimming in tomato juice and soggy."
Order accuracy,4,Positive,Correct,None,Hot,"Everything was in the bag exactly as ordered. Even the extra pickles were there."
Staff service,2,Negative,Correct,None,N/A,"Employee at front counter was texting on her phone while taking my order."
Timeliness,4,Positive,Correct,None,Fresh,"Quick service despite a long line. The team was working hard and it showed."
Cleanliness,5,Positive,Correct,None,N/A,"Saw an employee cleaning the PlayPlace tunnels. Very reassuring as a parent."
Environment,1,Negative,Missing item,None,N/A,"Homeless individual sleeping in a booth. Management didn't seem to care. Felt unsafe."
Food quality,3,Neutral,Correct,None,Overcooked,"Burger patties were a bit too charred for my taste, but the lettuce was crisp."
Staff service,5,Positive,Correct,None,N/A,"Jessica at the counter is a gem. She deserves a raise for her patience with the long line."
Timeliness,2,Negative,Incorrect,Wrong drink,Average,"Waited 12 minutes for a coffee and a muffin. They gave me decaf when I ordered regular."
Cleanliness,4,Positive,Correct,None,N/A,"Bathroom was clean and stocked. Sink area was dry which is a good sign."
Environment,3,Neutral,Correct,None,Stale,"Music was a good volume but the booth seats are torn and need reupholstering."
Food quality,2,Negative,Correct,None,Cold,"McFlurry was soup. Clearly the machine had been off or they just didn't mix it."
Customization error,4,Positive,Incorrect,Wrong customizations,Fresh,"They put cheese on my hamburger by accident but I actually liked it better. Happy accident."
Order accuracy,1,Negative,Missing item,None,N/A,"Received someone else's order entirely. Had to park and go inside to sort out the mess."
Staff service,3,Neutral,Correct,None,N/A,"Minimal interaction. Handed me the card reader, handed me the bag. Fine."
Timeliness,5,Positive,Correct,None,Hot,"Order ahead via app was ready on the counter when I walked in. Perfect timing."
Cleanliness,1,Negative,Correct,None,N/A,"Soda machine nozzles had visible mold growth. Lost my appetite instantly."
Environment,4,Positive,Correct,None,N/A,"Nice quiet corner in the back. Good for getting a little work done on my laptop."
Food quality,5,Positive,Correct,None,Fresh,"The new McCrispy sandwich is legitimately good. Way better than the old buttermilk chicken."
Staff service,1,Negative,Incorrect,None,N/A,"Worker threw my change on the counter instead of handing it to me. Rude."
Timeliness,3,Neutral,Incorrect,None,Hot,"They were fast but gave me a regular Coke instead of Diet. Had to ask for replacement."
Cleanliness,5,Positive,Correct,None,N/A,"Actually saw someone sweeping the parking lot. Curb appeal matters!"
Environment,2,Negative,Correct,None,N/A,"Lights were flickering in the dining room. Gave me a headache."
Food quality,4,Positive,Partial error,None,Fresh,"Fries were amazing, hot and crispy. Burger was a bit sloppily assembled but tasted fine."
Customization error,2,Negative,Incorrect,Wrong sauce,N/A,"Asked for no sauce on the McRib. It was drowning in BBQ. Ruined the sandwich."
Order accuracy,3,Neutral,Partial error,None,Average,"Forgot my dipping sauce for nuggets. Not the end of the world but annoying."
Staff service,4,Positive,Correct,None,N/A,"Friendly employee offered me a water cup without me even asking. Nice touch."
Timeliness,1,Negative,Incorrect,None,Stale,"Sat in the drive-thru for 22 minutes. Only ordered a McDouble and a small fry."
Cleanliness,2,Negative,Correct,None,N/A,"Windows were covered in greasy handprints. Looked like a crime scene."
Environment,5,Positive,Correct,None,Fresh,"They have the new digital menu boards that show exactly when your order is ready. Very cool."
Food quality,1,Negative,Incorrect,Missing ingredients,Burnt,"Burger patties were black. Literally burnt to a crisp. How did the cook not see this?"
Staff service,3,Neutral,Correct,None,N/A,"Worker was new, had to ask for help with every button. Manager was patient though."
Timeliness,4,Positive,Correct,None,Hot,"Express line for coffee only was moving fast. Grabbed a latte and ran."
Cleanliness,1,Negative,Missing item,None,N/A,"There was a dirty diaper on the changing table in the restroom. Absolutely vile."
Environment,3,Neutral,Correct,None,N/A,"Standard McDs atmosphere. Some loud teens, some families. No issues."
Food quality,4,Positive,Correct,None,Hot,"Apple pie was flaky and fresh out of the fryer. Best part of the meal."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Specifically requested no cheese due to allergy. Bite revealed melted cheese everywhere. Dangerous."
Order accuracy,5,Positive,Correct,None,N/A,"Large order for the office was 100% correct. 15 meals, no mistakes. Impressive."
Staff service,2,Negative,Correct,None,N/A,"Mumbled the entire interaction. Couldn't hear a word they said over the headset."
Timeliness,3,Neutral,Correct,None,Average,"Took about 5 minutes for a burger. Not fast food speed, not slow food speed."
Cleanliness,4,Positive,Correct,None,N/A,"High chairs were actually clean. Usually they are covered in dried food. Good job."
Environment,1,Negative,Correct,None,N/A,"Parking lot is a nightmare. Potholes everywhere and no clear arrows for the drive-thru lane."
Food quality,2,Negative,Correct,None,Limp,"Fries were unsalted and soggy. Asked for salt and they looked at me like I had two heads."
Staff service,5,Positive,Incorrect,None,N/A,"Made a mistake on my order but gave me a free sundae for the trouble. Mistakes happen, but recovery was A+."
Timeliness,1,Negative,Incorrect,Wrong drink,N/A,"Stuck at the speaker for 5 minutes. Then pulled up to wait another 10. Ridiculous."
Cleanliness,3,Neutral,Correct,None,N/A,"Lobby was clean but the trash can by the door was overflowing onto the floor."
Environment,4,Positive,Correct,None,N/A,"Free Wi-Fi is fast enough for video calls. Good spot for a quick remote meeting."
Food quality,5,Positive,Correct,None,Fresh,"Double cheeseburger was dressed perfectly. Cheese was melted all the way to the edge."
Customization error,3,Neutral,Incorrect,None,N/A,"Asked for extra lettuce. Got what seemed like regular lettuce amount. Oh well."
Order accuracy,2,Negative,Incorrect,Wrong sauce,N/A,"Asked for Sweet and Sour. Got Hot Mustard. Not a fan of mustard at all."
Staff service,1,Negative,Correct,None,N/A,"Employee at the register sighed heavily when I asked for a cup of water."
Timeliness,5,Positive,Correct,None,Hot,"Amazing speed. I barely had time to put my card away before the food was out."
Cleanliness,2,Negative,Correct,None,N/A,"Flies buzzing around the dining area. Landing on tables and chairs."
Environment,5,Positive,Correct,None,N/A,"This location has a fireplace. Yes, a fireplace in a McDonald's. Cozy."
Food quality,3,Neutral,Correct,None,Adequate,"Fish sandwich was okay. Tartar sauce was a little bland. Needed more pickle."
Staff service,4,Positive,Correct,None,N/A,"Older gentleman working the lobby was super sweet. Asked if I needed a refill."
Timeliness,2,Negative,Incorrect,None,Cold,"App said order was ready. Walked in and waited another 7 minutes. Food was cold."
Cleanliness,5,Positive,Correct,None,N/A,"Saw them wiping down the kiosk screens with sanitizer. Appreciate the attention to hygiene."
Environment,1,Negative,Correct,None,N/A,"Noise level was off the charts. Construction outside plus screaming kids inside."
Food quality,4,Positive,Correct,None,Fresh,"Hotcakes were fluffy and hot. Syrup was warm. Good breakfast stop."
Customization error,1,Negative,Incorrect,Wrong bread,N/A,"Ordered a Quarter Pounder Deluxe. Received a plain Quarter Pounder on a stale bun."
Order accuracy,4,Positive,Correct,None,N/A,"They remembered to leave the onions off this time. Success."
Staff service,3,Neutral,Correct,None,N/A,"Worker seemed tired. It was late night. I get it."
Timeliness,4,Positive,Correct,None,Hot,"Even at 2am, they got my order out quick. Fresh fries too."
Cleanliness,1,Negative,Correct,None,N/A,"Seat cushions had large rips with foam coming out. Felt dirty sitting down."
Environment,3,Neutral,Correct,None,Fresh,"Lighting was a bit harsh and fluorescent. Could use some dimmers for evening."
Food quality,2,Negative,Incorrect,Missing ingredients,Undercooked,"Nuggets were squishy inside. And they forgot the ranch dip."
Staff service,5,Positive,Correct,None,N/A,"The night shift manager is always on point. Food is fresh and service is friendly."
Timeliness,1,Negative,Incorrect,None,Average,"Mobile order marked 'ready' but it wasn't. Staff ignored me standing at the counter."
Cleanliness,4,Positive,Correct,None,N/A,"Trays were dry and not greasy. Small detail but much appreciated."
Environment,2,Negative,Correct,None,N/A,"Temperature inside was freezing. AC was blasting on a cool day."
Food quality,5,Positive,Correct,None,Perfect,"McDouble was hot, cheese melted, onions steamed. Simple perfection."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Added bacon and paid extra. No bacon on burger. Annoying."
Order accuracy,3,Neutral,Partial error,None,Hot,"Got the right sandwiches but they gave me small fries instead of medium."
Staff service,4,Positive,Correct,None,N/A,"Employee at window was singing along to the radio. Cheerful and quick."
Timeliness,3,Neutral,Correct,None,Average,"Just an average wait. Nothing to complain about."
Cleanliness,5,Positive,Correct,None,N/A,"Exterior of building is well maintained. Landscaping looks nice."
Environment,4,Positive,Correct,None,N/A,"Quiet breakfast crowd. Good place to read the paper."
Food quality,1,Negative,Correct,None,Soggy,"Chicken sandwich was wet. Lettuce was brown. Took two bites and binned it."
Staff service,2,Negative,Correct,None,N/A,"Manager was yelling at a crew member in front of customers. Unacceptable."
Timeliness,5,Positive,Correct,None,Hot,"Blazing fast. Drive-thru was like a NASCAR pit stop."
Cleanliness,2,Negative,Correct,None,N/A,"Bathroom smelled strongly of urine. Floor was sticky."
Environment,1,Negative,Missing item,None,N/A,"TV was blaring a news channel with disturbing content. Not family friendly."
Food quality,3,Neutral,Correct,None,Overcooked,"Fries were a little too brown. Crispy but tasted slightly burnt."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me a larger size drink by mistake. Nice little upgrade."
Order accuracy,1,Negative,Missing item,None,N/A,"Missing a 10-piece nugget and a cookie. Check your bags, folks."
Staff service,5,Positive,Correct,None,N/A,"Crew member came from behind counter to hold the door for an elderly lady. Class act."
Timeliness,2,Negative,Correct,None,Warm,"Food sat on the counter for a while before they called my number."
Cleanliness,3,Neutral,Correct,None,N/A,"Dining room was mostly clean except for a ketchup packet exploded on the floor."
Environment,5,Positive,Correct,None,Fresh,"Love the modern, minimalist design. Feels more like a cafe than fast food."
Food quality,4,Positive,Correct,None,Fresh,"Salad was crisp and fresh. Grilled chicken was warm and tender."
Staff service,1,Negative,Incorrect,None,N/A,"Took my order, didn't repeat it back. Of course it was wrong at the window."
Timeliness,4,Positive,Incorrect,None,Hot,"Quick service, but they gave me a regular coffee when I asked for black."
Cleanliness,5,Positive,Correct,None,N/A,"Hand sanitizer station at the door was full. Good first impression."
Environment,2,Negative,Correct,None,N/A,"Loud beeping from the fryer area was constant and annoying."
Food quality,2,Negative,Correct,None,Dry,"Chicken selects were dry and stringy. Needed about a gallon of sauce."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Veggie burger had bacon on it. Defeats the whole purpose."
Order accuracy,5,Positive,Correct,None,N/A,"Asked for fresh fries with no salt. They made a fresh batch. Thank you."
Staff service,3,Neutral,Correct,None,N/A,"Competent but not memorable. Got the job done."
Timeliness,1,Negative,Incorrect,None,Cold,"Waited in the drive-thru lane behind one car for 15 minutes. Unreal."
Cleanliness,4,Positive,Correct,None,N/A,"Windows were crystal clear. Could see right into the kitchen which looked organized."
Environment,3,Neutral,Correct,None,N/A,"It was fine. Just another McDonald's interior."
Food quality,5,Positive,Correct,None,Fresh,"Iced coffee was perfectly sweetened and strong. Morning made."
Staff service,4,Positive,Correct,None,N/A,"Shift lead was training a new hire and was very patient and instructive."
Timeliness,2,Negative,Incorrect,Wrong sauce,Hot,"Food was hot but they forgot the honey mustard again. I swear it's 50/50."
Cleanliness,1,Negative,Correct,None,N/A,"Rodent trap visible under the booth seat. Immediately left."
Environment,4,Positive,Correct,None,N/A,"Nice outdoor seating area. Good for people watching."
Food quality,3,Neutral,Correct,None,Adequate,"Oatmeal was a bit watery but the apples were fresh."
Customization error,3,Neutral,Incorrect,None,N/A,"Ordered no pickles, got pickles. Picked them off. Not a huge deal."
Order accuracy,2,Negative,Incorrect,Wrong customizations,Average,"Burger was built completely wrong. Wrong cheese, wrong toppings."
Staff service,5,Positive,Correct,None,N/A,"The woman working the first window at 6am is a ray of sunshine. Always smiling."
Timeliness,5,Positive,Correct,None,Hot,"In and out in under 3 minutes during lunch rush. Impressive coordination."
Cleanliness,2,Negative,Correct,None,N/A,"Ceiling tiles were stained with brown water spots. Looks like a leak."
Environment,1,Negative,Correct,None,N/A,"Group of unruly teens blocking the entrance. Staff did nothing."
Food quality,4,Positive,Correct,None,Fresh,"Muffin was toasted perfectly. Egg was fluffy and not rubbery."
Staff service,2,Negative,Correct,None,N/A,"Worker rolled her eyes when I asked for extra napkins. Sorry for needing to wipe my hands."
Timeliness,3,Neutral,Correct,None,Average,"Wait time was standard. Expected nothing more."
Cleanliness,5,Positive,Correct,None,N/A,"The self-serve drink station was immaculate. No sticky residue."
Environment,3,Neutral,Correct,None,N/A,"Decor is dated but functional. Could use a remodel."
Food quality,1,Negative,Incorrect,Missing ingredients,Burnt,"Burger was burnt to a hockey puck and missing the bottom bun. How?"
Customization error,2,Negative,Incorrect,Wrong drink,N/A,"Ordered a milkshake. Machine was 'broken' so they gave me a soda without asking."
Order accuracy,4,Positive,Correct,None,N/A,"Special request for fresh meat was honored. Took longer but worth it."
Staff service,3,Neutral,Incorrect,None,N/A,"Charged me for a large meal when I ordered medium. Caught it on the receipt."
Timeliness,1,Negative,Incorrect,None,Cold,"Inside lobby service was glacial. One person making food, one person on break?"
Cleanliness,4,Positive,Correct,None,N/A,"Floor was freshly mopped. Wet floor sign was up and everything."
Environment,5,Positive,Correct,None,Fresh,"They have a dedicated quiet zone for seniors. Very thoughtful."
Food quality,2,Negative,Correct,None,Stale,"Muffin was stale and crumbled into dust. Tasted like yesterday's batch."
Staff service,4,Positive,Correct,None,N/A,"Worker noticed I was carrying a lot of bags and offered a tray without asking."
Timeliness,4,Positive,Correct,None,Hot,"Quick service for a large family order. Everything was bagged neatly."
Cleanliness,1,Negative,Missing item,None,N/A,"Used a restroom stall and there was no toilet paper. Horrible."
Environment,2,Negative,Correct,None,N/A,"Music was some weird techno station. Not relaxing at all."
Food quality,3,Neutral,Correct,None,Average,"Burger was squashed flat in the wrapper. Tasted fine though."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered a plain hamburger. Got a cheeseburger with ketchup, mustard, onions."
Order accuracy,5,Positive,Correct,None,N/A,"Perfect order. Even the extra pickles in a separate cup were there."
Staff service,5,Positive,Correct,None,N/A,"Manager came around to tables asking how everything was. Great hospitality."
Timeliness,2,Negative,Correct,None,Warm,"Pulled forward to wait. They forgot about me. Had to go inside to get food."
Cleanliness,3,Neutral,Correct,None,N/A,"Tables were clean but the chairs had crumbs on them."
Environment,4,Positive,Correct,None,N/A,"Comfortable temperature and good lighting. Easy to relax."
Food quality,5,Positive,Correct,None,Perfect,"Hot fudge sundae with extra nuts was exactly as ordered. Peanuts were fresh."
Staff service,1,Negative,Correct,None,N/A,"Cashier was chewing gum loudly and popping bubbles while taking my order."
Timeliness,3,Neutral,Incorrect,None,Hot,"Speed was fine but they forgot the receipt. Had to ask for one."
Cleanliness,5,Positive,Correct,None,N/A,"PlayPlace was clean and smelled like fresh plastic. My kid loved it."
Environment,1,Negative,Correct,None,N/A,"Construction noise was deafening. They should close the dining room during work."
Food quality,4,Positive,Correct,None,Fresh,"Big Mac sauce was generous. Bun was toasted and warm."
Customization error,3,Neutral,Incorrect,None,N/A,"Forgot the extra cheese I paid for. Wasn't worth going back to the counter."
Order accuracy,2,Negative,Incorrect,Wrong drink,N/A,"Ordered a Coke Zero. Tasted like regular Coke. I'm diabetic, I can tell."
Staff service,4,Positive,Correct,None,N/A,"Drive-thru worker had a great sense of humor. Made me laugh."
Timeliness,5,Positive,Correct,None,Hot,"Food was out before I finished paying. Almost too fast to believe it was mine."
Cleanliness,2,Negative,Correct,None,N/A,"Trash can area smelled like rotten milk. Ruined the appetite."
Environment,3,Neutral,Correct,None,N/A,"A bit too warm inside. AC seemed to be struggling."
Food quality,1,Negative,Incorrect,Missing ingredients,Undercooked,"Breakfast burrito had cold cheese in the center and no egg."
Staff service,2,Negative,Correct,None,N/A,"Employee was wearing AirPods and didn't hear me say 'no onions'."
Timeliness,4,Positive,Correct,None,Fresh,"Waited 4 minutes for fresh nuggets. Happy to wait for quality."
Cleanliness,5,Positive,Correct,None,N/A,"Saw an employee cleaning the baseboards. Deep cleaning is rare!"
Environment,4,Positive,Correct,None,N/A,"They have a great collection of vintage McDonald's photos on the wall."
Food quality,2,Negative,Correct,None,Soggy,"Filet-O-Fish bun was soggy and the cheese wasn't melted."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Asked for a McDouble with only ketchup. Received standard build with everything."
Order accuracy,3,Neutral,Partial error,None,Average,"Missing one fry from the order. Noticed after I left."
Staff service,5,Positive,Correct,None,N/A,"The young lady at the counter was so polite. Called me 'sir' and made eye contact."
Timeliness,1,Negative,Incorrect,None,Cold,"Stuck at the second window for 8 minutes. Cars behind me were honking."
Cleanliness,4,Positive,Correct,None,N/A,"Soda fountains were clean and the ice dispenser worked perfectly."
Environment,2,Negative,Correct,None,N/A,"Homeless man was bathing in the bathroom sink. Felt unsafe."
Food quality,5,Positive,Correct,None,Fresh,"Hotcakes and sausage was a 10/10. Syrup was warm and thick."
Staff service,3,Neutral,Correct,None,N/A,"Worker was efficient but didn't smile once. Fine by me."
Timeliness,3,Neutral,Correct,None,Average,"Took about 7 minutes inside. Not great, not terrible."
Cleanliness,1,Negative,Correct,None,N/A,"Glass doors were smeared with fingerprints and grease."
Environment,5,Positive,Correct,None,N/A,"This is a new 'green' building with solar panels. Pretty cool."
Food quality,4,Positive,Correct,None,Fresh,"Crispy chicken sandwich was indeed crispy. Lettuce was shredded nicely."
Customization error,2,Negative,Incorrect,Wrong sauce,N/A,"Asked for no mayo. Sandwich was slathered in mayo."
Order accuracy,5,Positive,Correct,None,N/A,"Ordered 4 different burgers with modifications. All correct."
Staff service,4,Positive,Incorrect,None,N/A,"Forgot my dipping sauce but brought it out to my car in the parking lot."
Timeliness,2,Negative,Correct,None,Average,"Slow moving line inside. Only two registers open at peak time."
Cleanliness,3,Neutral,Correct,None,N/A,"Lobby was okay but the bathroom door handle was sticky."
Environment,1,Negative,Correct,None,N/A,"The music was so loud I had to yell my order at the kiosk."
Food quality,3,Neutral,Correct,None,Overcooked,"Nuggets were a bit dry. Overcooked but still edible with sauce."
Staff service,5,Positive,Correct,None,N/A,"Employee walked around with a pot of fresh coffee offering refills. Like a real diner."
Timeliness,5,Positive,Correct,None,Hot,"Express lane for mobile orders is a game changer. Walked right past the line."
Cleanliness,2,Negative,Correct,None,N/A,"Someone left a half-eaten burger on the napkin dispenser. Gross."
Environment,3,Neutral,Correct,None,N/A,"It's a busy location. Hard to find a clean table during lunch."
Food quality,1,Negative,Incorrect,Missing ingredients,Stale,"Bun was stale and the burger was missing the patty. Just a bun with lettuce."
Customization error,3,Neutral,Incorrect,None,Fresh,"They gave me a McChicken instead of a Spicy McChicken. Not a big difference."
Order accuracy,4,Positive,Correct,None,N/A,"They got the ice cream cone right. Hard to mess that up, but they didn't."
Staff service,2,Negative,Correct,None,N/A,"Employee at register seemed annoyed I was ordering food at a restaurant."
Timeliness,1,Negative,Incorrect,Wrong drink,N/A,"Took forever and they gave me the wrong shake flavor."
Cleanliness,5,Positive,Correct,None,N/A,"The entire restaurant smelled like fresh cleaning solution. Very pleasant."
Environment,4,Positive,Correct,None,N/A,"Nice view of the mountains from the booth. Best view at any McDonald's I've seen."
Food quality,4,Positive,Correct,None,Hot,"Fries were right out of the fryer. Scorching hot and salty."
Staff service,3,Neutral,Incorrect,None,N/A,"Had to repeat my order three times. They still got the drink wrong."
Timeliness,4,Positive,Correct,None,Hot,"Very efficient at breakfast time. Got my bag and was out the door."
Cleanliness,1,Negative,Correct,None,N/A,"There was a puddle of something unknown under my table. Didn't investigate."
Environment,5,Positive,Correct,None,N/A,"They have a self-order kiosk that actually works and prints receipts."
Food quality,2,Negative,Correct,None,Cold,"Quarter Pounder was cold in the middle. Cheese wasn't even melted."
Customization error,1,Negative,Incorrect,Wrong bread,N/A,"Ordered a bunless burger in a tray. Received a bun. Defeats the low-carb diet."
Order accuracy,2,Negative,Missing item,None,N/A,"Missing a pie. Pie was the only reason I went there."
Staff service,5,Positive,Correct,None,N/A,"The young man cleaning the lobby was so thorough and cheerful."
Timeliness,3,Neutral,Correct,None,Average,"Wait was okay. They were clearly understaffed but trying."
Cleanliness,4,Positive,Correct,None,N/A,"Bathroom had a changing table with a safety strap that worked."
Environment,2,Negative,Correct,None,N/A,"Draft from the door was freezing my back. Couldn't enjoy the meal."
Food quality,3,Neutral,Correct,None,Adequate,"Egg McMuffin was a bit rubbery but the coffee was good."
Staff service,4,Positive,Correct,None,N/A,"Employee gave my kid a free balloon. Made his day."
Timeliness,2,Negative,Correct,None,Warm,"Food sat in the warming area while staff chatted in the back."
Cleanliness,5,Positive,Correct,None,N/A,"Saw the manager inspect the restrooms with a clipboard. Very professional."
Environment,1,Negative,Correct,None,N/A,"It was dark and gloomy inside. Half the lights were off."
Food quality,5,Positive,Correct,None,Fresh,"The hash browns were golden and crispy. Best part of the morning."
Customization error,4,Positive,Incorrect,None,Fresh,"Asked for no onions, got onions. Picked them off. Burger was still great."
Order accuracy,3,Neutral,Partial error,None,Hot,"Got the right burger, wrong side. Asked for fries, got apple slices."
Staff service,5,Positive,Correct,None,N/A,"They call regulars by name. Feels like a neighborhood spot."
Timeliness,1,Negative,Incorrect,None,Cold,"Waited so long the ice melted in my drink. Food was cold."
Cleanliness,3,Neutral,Correct,None,N/A,"Floors were swept but the tables were a bit sticky."
Environment,4,Positive,Correct,None,N/A,"They have a TV with the news on but it's muted. Perfect."
Food quality,2,Negative,Correct,None,Dry,"Chicken nuggets were like little rocks. Overcooked to death."
Staff service,2,Negative,Incorrect,None,N/A,"Asked for a cup of water. Employee gave me attitude and a tiny espresso cup of water."
Timeliness,5,Positive,Correct,None,Hot,"Drive-thru was fast and the food was fresh. Double win."
Cleanliness,1,Negative,Correct,None,N/A,"There was a cockroach on the floor near the counter. Left immediately."
Environment,5,Positive,Correct,None,N/A,"Great natural light from the skylights. Doesn't feel like a cave."
Food quality,4,Positive,Correct,None,Fresh,"Sausage burrito was hot and the tortilla was soft. Good value."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered no mustard. Mustard was dripping out of the burger."
Order accuracy,5,Positive,Correct,None,N/A,"Large family order. Everything bagged separately and labeled. Amazing."
Staff service,3,Neutral,Correct,None,N/A,"Worker was nice enough but kept interrupting me while I ordered."
Timeliness,4,Positive,Correct,None,Hot,"Ordered on the app from the parking lot. Walked in, grabbed it, left."
Cleanliness,4,Positive,Correct,None,N/A,"They have a hand washing station in the lobby. Great for families with kids."
Environment,2,Negative,Correct,None,N/A,"The booth seat was broken and sank down when I sat."
Food quality,1,Negative,Incorrect,Missing ingredients,Undercooked,"Burger patty was raw in the middle. Unacceptable safety hazard."
Staff service,4,Positive,Correct,None,N/A,"Worker at window complimented my car. Little things make the experience better."
Timeliness,3,Neutral,Incorrect,None,Average,"They were fast but forgot the apple pie. Had to wait for that."
Cleanliness,5,Positive,Correct,None,N/A,"High traffic location but they manage to keep the floors clean and dry."
Environment,3,Neutral,Correct,None,N/A,"Standard environment. Nothing special, nothing offensive."
Food quality,3,Neutral,Correct,None,Adequate,"Cheeseburger was fine. Ketchup to mustard ratio was off."
Customization error,1,Negative,Incorrect,Wrong drink,N/A,"Ordered a caramel frappe. Received a mocha frappe. Not what I wanted."
Order accuracy,2,Negative,Incorrect,Wrong sauce,N/A,"Asked for honey for nuggets. Got honey mustard. Not the same."
Staff service,5,Positive,Correct,None,N/A,"The manager on duty was helping with the fry station. Leadership by example."
Timeliness,2,Negative,Correct,None,Cold,"Second window wait was long. Car ahead had a massive order."
